Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
465,2024,"50,561","24,437","34,694", -   ,"109,691","111,363","102,485", -   ,"110,141", -   , -   ,"110,141","3,000","1,222","111,363","212,748",-210189.00,"2,560",77,77,61,"1,223",
466,2024,"6,959","4,330","10,389", -   ,"21,678","29,413","1,752","12,441","15,549", -   , -   ,"15,549","10,100","13,865","29,413","62,727",-45022.00,"17,706","3,289","3,276","2,618","13,865",
467,2024,"49,269","1,655","3,570", -   ,"54,493","71,006","2,708", -   ,"7,786", -   , -   ,"7,786","36,000","63,220","71,006","102,616",-75443.00,"27,173","20,544","20,499","16,399","63,220",
468,2024,"4,451","2,357","42,088","3,200","52,096","52,237","36,773","4,800","42,092", -   , -   ,"42,092","9,900","10,144","52,237","242,663",-238256.00,"4,408",662,662,530,"10,144",
469,2024,"14,081","39,132","26,501", -   ,"80,915","84,472","22,259","28,695","54,593", -   , -   ,"54,593","19,800","29,880","84,472","169,346",-157862.00,"11,484",755,"1,682","1,345","29,880",
470,2024,54,"2,449","110,808", -   ,"113,311","113,811","1,068", -   ,"96,500", -   , -   ,"96,500","18,000","17,312","113,812","23,896",-23607.00,289,37,27,19,"17,311",
471,2024,286, -   ,"31,007", -   ,"31,721","34,444",106, -   ,"7,012", -   , -   ,"7,012","14,000","27,432","34,444","8,083",-3597.00,"4,487",884,884,707,"27,432",
472,2024,"2,534","7,038","30,778", -   ,"49,620","60,065","22,810", -   ,"49,385", -   , -   ,"49,385","5,000","10,680","60,065","278,448",-242742.00,"35,706","1,228","1,088",834,"10,680",
473,2024,"2,088","1,986","17,737", -   ,"21,811","31,225","6,668","18,546","30,077", -   , -   ,"30,077","6,458","1,148","31,225","69,314",-62144.00,"7,170",-494,-82,-94,"1,148",
474,2024,"20,230","41,824","7,452", -   ,"69,506","70,707","8,285","12,570","64,780", -   , -   ,"64,780","11,500","5,927","70,707","52,588",-48850.00,"3,738",136,101,73,"5,927",
475,2024,"48,269","5,780","16,321", -   ,"70,370","72,828","8,217","12,000","65,279", -   , -   ,"65,279","15,000","7,550","72,829","48,121",-44775.00,"3,347","1,036","1,036","1,036","7,550",
476,2024,"20,654","114,375","56,740","1,700","206,770","357,771","6,449","183,572","193,751","70,703","70,703","264,455","70,359","93,317","357,771","660,532",-618676.00,"41,856","2,335","2,578","1,416","93,316",
477,2024,"212,175","79,433","467,730","36,500","805,739","1,284,659","328,628","188,171","639,812", -   ,"47,681","687,493","370,599","597,166","1,284,659","2,355,857",-1134863.00,"1,220,994","119,886","119,401","95,629","535,672","7,028"
478,2024,715,"4,413","15,960", -   ,"21,541","187,229","7,429","41,851","87,238","39,899","39,899","127,137","68,000","60,092","187,229","130,272",-111288.00,"18,984","2,018","2,043","2,043","43,293",
